customer_id,idade,renda,plano,tempo_cliente,qtd_chamados,atraso_pagamento,churn
1,22,4572,basic,3,9,0,1
2,58,2440,premium,43,7,0,1
3,52,10155,premium,13,4,0,0
4,40,10879,basic,42,0,0,0
5,40,12043,basic,34,1,0,0
6,62,14356,basic,12,2,0,0
7,22,8465,premium,28,4,0,0
8,54,12778,premium,3,8,1,1
9,28,11311,premium,42,1,0,0
10,22,5603,basic,18,5,0,0
11,45,12986,basic,23,3,0,0
12,68,2693,basic,10,0,0,0
13,56,9785,basic,22,6,0,1
14,57,14224,premium,24,7,0,1
15,55,10566,basic,14,9,0,1
16,58,14181,basic,58,5,1,1
17,44,2730,basic,17,3,0,0
18,24,8921,basic,11,8,1,1
19,61,12147,premium,33,2,0,0
20,41,10350,basic,19,6,0,1
21,44,13446,enterprise,27,9,1,1
22,37,8013,premium,43,0,1,1
23,27,10873,premium,5,9,0,1
24,66,7456,premium,31,2,0,0
25,58,13337,premium,2,4,0,0
26,51,3552,premium,3,2,0,0
27,38,5303,basic,6,1,0,0
28,60,3257,basic,10,7,0,1
29,46,11127,basic,21,4,0,0
30,41,5025,basic,56,5,0,0
31,41,6122,basic,54,4,1,1
32,29,12876,premium,7,7,0,1
33,22,6682,basic,59,9,0,1
34,46,3895,basic,38,5,0,0
35,64,2272,premium,33,1,0,0
36,21,4947,basic,47,3,0,0
37,62,13890,premium,29,4,1,1
38,61,9131,basic,16,1,0,0
39,32,14932,premium,32,2,0,0
40,50,4796,premium,43,2,0,0
41,26,6569,basic,41,9,0,1
42,57,4121,basic,11,4,0,0
43,54,7178,basic,56,8,0,1
44,36,9323,basic,17,5,0,0
45,21,12505,basic,49,5,0,0
46,68,6785,enterprise,19,9,1,1
47,41,12029,basic,4,6,0,1
48,64,10140,premium,59,2,0,0
49,53,5793,basic,35,2,0,0
50,58,13858,enterprise,13,6,1,1
51,57,7645,basic,1,0,0,0
52,28,3962,basic,8,1,0,0
53,36,14515,basic,11,0,0,0
54,42,13874,basic,55,7,0,1
55,43,2644,premium,11,4,1,1
56,20,13732,basic,10,0,1,1
57,46,14315,basic,50,7,0,1
58,26,12778,basic,52,6,0,1
59,56,5314,premium,13,7,1,1
60,53,10206,basic,39,1,0,0
61,65,8997,basic,32,8,0,1
62,56,10061,basic,35,1,1,1
63,37,10013,basic,19,5,0,0
64,68,10309,basic,45,5,0,0
65,39,8682,enterprise,52,2,0,0
66,34,10976,basic,43,3,0,0
67,65,8845,premium,54,0,0,0
68,37,2214,basic,7,4,0,0
69,21,2458,basic,39,6,0,1
70,42,14455,basic,59,3,0,0
71,59,13820,basic,32,5,0,0
72,27,9612,basic,56,9,1,1
73,42,4269,basic,21,2,0,0
74,24,12159,basic,53,2,0,0
75,53,3862,enterprise,56,1,0,0
76,42,6904,basic,37,5,0,0
77,35,6288,basic,42,2,0,0
78,29,2161,basic,31,8,0,1
79,47,12491,basic,19,2,0,0
80,52,8626,premium,32,6,0,1
81,66,6111,basic,57,1,0,0
82,40,8593,basic,1,3,0,0
83,26,2000,basic,13,1,0,0
84,61,7680,basic,30,5,0,0
85,50,8754,enterprise,21,0,0,0
86,54,6416,basic,37,0,0,0
87,23,12794,premium,22,5,0,0
88,34,5247,basic,39,5,0,0
89,57,3791,enterprise,7,3,0,0
90,61,8858,basic,20,4,0,0
91,40,13534,basic,41,4,0,0
92,59,6878,premium,28,7,0,1
93,61,2606,basic,43,4,0,0
94,38,14609,basic,38,8,0,1
95,64,7775,enterprise,20,2,0,0
96,32,4248,basic,26,1,1,1
97,30,10002,premium,57,4,0,0
98,53,6155,premium,57,0,0,0
99,51,14191,premium,3,6,0,1
100,25,5821,premium,42,3,0,0
101,61,9151,basic,29,3,0,0
102,28,9063,basic,1,5,0,0
103,59,5151,basic,38,0,0,0
104,18,8490,premium,2,3,0,0
105,59,3417,premium,19,9,0,1
106,58,10368,basic,41,6,0,1
107,58,11858,basic,48,5,0,0
108,52,14350,basic,25,5,0,0
109,42,6235,basic,48,4,0,0
110,54,5707,premium,50,9,0,1
111,32,9134,basic,27,9,0,1
112,58,11006,premium,11,4,0,0
113,46,14902,premium,39,9,1,1
114,41,2325,enterprise,1,0,1,1
115,44,5097,basic,53,3,0,0
116,47,5411,enterprise,23,3,0,0
117,19,5319,premium,45,6,0,1
118,25,8028,premium,44,6,1,1
119,30,13347,basic,28,4,0,0
120,23,2402,basic,58,2,0,0
121,40,12605,premium,47,5,0,0
122,52,10029,basic,53,2,0,0
123,52,9997,basic,6,4,0,0
124,42,10818,basic,29,3,0,0
125,62,3500,basic,57,8,0,1
126,47,11707,basic,48,7,0,1
127,22,5225,basic,27,1,0,0
128,57,8715,basic,5,9,0,1
129,47,10799,enterprise,17,6,0,1
130,51,9851,enterprise,34,3,0,0
131,47,6200,basic,38,5,0,0
132,46,7148,basic,55,1,0,0
133,22,8194,basic,6,0,0,0
134,47,2536,basic,24,4,0,0
135,59,11438,premium,17,7,0,1
136,33,3299,basic,57,3,0,0
137,49,7961,basic,10,3,0,0
138,19,10514,basic,14,9,0,1
139,36,3045,basic,18,9,0,1
140,40,14942,premium,7,4,0,0
141,69,6903,premium,38,0,0,0
142,29,2205,basic,31,6,1,1
143,32,10562,basic,33,7,0,1
144,39,9248,enterprise,54,9,0,1
145,69,10324,basic,26,9,0,1
146,62,11763,premium,19,6,0,1
147,19,8183,premium,23,1,1,1
148,30,12748,basic,48,2,1,1
149,60,6811,premium,32,7,0,1
150,21,9087,basic,10,6,1,1
151,62,4060,premium,41,4,0,0
152,32,10058,basic,44,4,1,1
153,65,5400,basic,15,7,0,1
154,33,11057,basic,33,4,0,0
155,40,12413,basic,34,1,0,0
156,52,13166,basic,11,9,0,1
157,24,14078,basic,1,3,0,0
158,46,3589,basic,43,2,0,0
159,44,3793,basic,37,0,0,0
160,58,14040,basic,43,4,0,0
161,69,6950,enterprise,23,9,0,1
162,52,2338,enterprise,31,1,0,0
163,39,5730,basic,58,2,0,0
164,39,12870,basic,14,1,0,0
165,39,6614,premium,39,0,0,0
166,60,2997,premium,8,6,0,1
167,34,11387,basic,4,2,0,0
168,26,4530,premium,57,7,0,1
169,35,6586,basic,8,4,0,0
170,19,2050,basic,39,6,0,1
171,23,9825,premium,31,0,0,0
172,22,7788,premium,48,3,0,0
173,58,13271,premium,33,4,0,0
174,55,6346,basic,42,0,0,0
175,54,4659,basic,53,4,0,0
176,42,4157,basic,49,4,1,1
177,55,4602,basic,43,4,0,0
178,26,7864,basic,10,5,0,0
179,64,3133,basic,10,7,0,1
180,44,7230,basic,30,7,0,1
181,66,13110,premium,39,0,0,0
182,25,11979,basic,40,6,0,1
183,43,10284,basic,47,9,0,1
184,54,13610,premium,7,8,0,1
185,43,12142,basic,11,3,1,1
186,41,10483,premium,9,7,0,1
187,26,13219,basic,32,8,0,1
188,37,3617,basic,38,3,0,0
189,30,12637,premium,7,8,0,1
190,33,5840,basic,52,6,0,1
191,53,11529,premium,18,7,0,1
192,50,13873,premium,39,7,0,1
193,49,8448,basic,45,7,0,1
194,36,3153,premium,3,9,0,1
195,67,6812,premium,52,8,0,1
196,22,7289,enterprise,58,4,0,0
197,35,14177,basic,57,5,1,1
198,24,14252,basic,9,6,0,1
199,35,9390,premium,24,8,0,1
200,68,14358,basic,14,3,0,0
201,37,7671,basic,27,3,0,0
202,65,7345,basic,58,7,0,1
203,43,12874,basic,46,9,0,1
204,54,10676,basic,46,9,0,1
205,41,8790,basic,25,1,0,0
206,31,7937,basic,56,9,0,1
207,57,11172,basic,55,7,0,1
208,68,11794,enterprise,48,1,1,1
209,31,8377,basic,49,0,0,0
210,58,2410,basic,39,2,0,0
211,31,3323,basic,6,9,0,1
212,55,3874,basic,17,7,0,1
213,59,8007,enterprise,46,5,0,0
214,41,9984,enterprise,20,6,0,1
215,56,12448,basic,11,4,0,0
216,32,5023,basic,56,9,0,1
217,22,12225,basic,29,1,0,0
218,23,10658,basic,51,3,0,0
219,41,2671,basic,17,2,0,0
220,64,6565,basic,22,8,0,1
221,24,5934,basic,21,5,0,0
222,41,13526,basic,23,6,0,1
223,54,13975,basic,26,9,0,1
224,28,12650,basic,18,1,0,0
225,55,8864,basic,49,9,0,1
226,33,8406,basic,20,1,0,0
227,60,6049,basic,27,7,0,1
228,48,12047,basic,51,7,0,1
229,46,3121,basic,26,8,0,1
230,27,5524,basic,1,1,0,0
231,42,3757,premium,1,9,0,1
232,62,8425,enterprise,26,7,1,1
233,19,5896,basic,39,1,0,0
234,57,4567,basic,56,5,0,0
235,43,6893,premium,8,8,0,1
236,55,13191,premium,33,4,1,1
237,52,9254,basic,18,3,0,0
238,40,12699,basic,27,2,0,0
239,34,13880,basic,27,5,0,0
240,50,13727,basic,19,9,0,1
241,25,6563,basic,2,6,0,1
242,48,13407,basic,5,7,0,1
243,22,13821,basic,31,7,0,1
244,51,14474,basic,14,7,1,1
245,50,6563,basic,20,4,1,1
246,22,4968,premium,6,7,1,1
247,57,9595,basic,3,3,0,0
248,39,14113,basic,8,5,0,0
249,58,13708,basic,23,3,0,0
250,20,9425,premium,10,9,0,1
251,27,3940,basic,14,7,0,1
252,43,7492,basic,18,5,0,0
253,27,11283,basic,18,4,1,1
254,35,9284,premium,1,5,0,0
255,52,6491,premium,7,7,0,1
256,25,6453,premium,57,2,0,0
257,53,2776,premium,40,8,0,1
258,23,5751,basic,8,2,0,0
259,27,10701,basic,17,1,0,0
260,48,5137,basic,23,7,0,1
261,59,14914,premium,54,7,0,1
262,26,3071,basic,52,3,1,1
263,33,9654,basic,46,6,0,1
264,66,8455,premium,7,7,0,1
265,69,12832,basic,29,7,0,1
266,48,13540,basic,29,9,0,1
267,41,9065,basic,38,8,0,1
268,36,10191,premium,50,4,0,0
269,49,11086,enterprise,19,2,0,0
270,48,8772,basic,33,0,0,0
271,33,4403,enterprise,16,5,0,0
272,19,7571,premium,13,6,0,1
273,25,5140,premium,19,6,0,1
274,67,8037,premium,44,0,0,0
275,39,9997,basic,26,7,0,1
276,43,4720,premium,41,7,1,1
277,42,5242,basic,41,7,0,1
278,58,12698,premium,22,5,0,0
279,21,6910,basic,57,0,1,1
280,22,4578,premium,3,4,1,1
281,32,11271,enterprise,53,6,0,1
282,43,11316,basic,1,5,0,0
283,52,12740,enterprise,23,5,1,1
284,43,11879,basic,49,5,0,0
285,40,14895,basic,41,5,0,0
286,66,9473,basic,19,3,0,0
287,26,5728,premium,53,6,1,1
288,47,13218,basic,9,2,0,0
289,46,5442,basic,40,4,0,0
290,42,5783,premium,31,4,0,0
291,59,12770,basic,13,7,0,1
292,31,13461,basic,55,8,0,1
293,67,6411,premium,46,6,0,1
294,35,11482,premium,1,1,0,0
295,46,13991,premium,6,6,1,1
296,45,12383,basic,4,3,0,0
297,62,2064,enterprise,25,0,0,0
